Data_Referencia,Seccio_Censal,Poblacio
1998,5023,1416
1998,5024,1780
1998,5025,1122
1998,5026,1302
1998,5027,1302
1998,5028,1223
1998,5029,1237
1998,5030,1184
1998,5031,1210
1998,5032,1331
1998,5033,990
1998,5034,1093
1998,5035,1124
1998,5036,1523
1998,5037,1255
1998,5038,1085
1998,5039,1472
1998,5040,1185
1998,5041,1183
1998,5042,1037
1998,5043,1250
1998,5044,1174
1998,5045,1389
1998,5046,1087
1998,5047,1079
1998,5048,1206
1998,5049,1474
1998,5050,1363
1998,5051,1374
1998,5052,1285
1998,5053,1206
1998,5054,942
1998,5055,1413
1998,5056,1228
1998,5057,1579
1998,5058,1444
1998,5059,1445
1998,5060,1078
1998,5061,1416
1998,5062,1558
1998,5063,1448
1998,5064,1485
1998,5065,1549
1998,5066,1250
1998,5067,1202
1998,5068,1364
1998,5069,1626
1998,5070,1416
1998,5071,1411
1998,5072,1534
1998,5073,1546
1998,5074,1525
1998,5075,1669
1998,5076,1246
1998,5077,1211
1998,5078,1765
1998,5079,1301
1998,5080,1309
1998,5081,1388
1998,5082,1476
1998,5083,1204
1998,5084,1163
1998,5085,1117
